Name,Rating,Network,Duration,Aired,NumEpisodes
Move to Heaven,9.2,Netflix,52,Friday,10
Flower of Evil,9.1,tvN,70,"Wednesday, Thursday",16
Hospital Playlist,9.1,"Netflix,  tvN",90,Other,12
Hospital Playlist 2,9.1,"Netflix,  tvN",100,Other,12
My Mister,9.1,tvN,77,"Wednesday, Thursday",16
Reply 1988,9.1,tvN,100,"Friday, Saturday",20
Weak Hero Class 1,9.1,Wavve,40,Friday,8
Prison Playbook,9.1,"Netflix,  tvN",92,"Wednesday, Thursday",16
Alchemy of Souls,9,"Netflix, tvN",80,"Saturday, Sunday",20
Extraordinary Attorney Woo,9,"ENA, Netflix",77,"Wednesday, Thursday",16
Mr. Queen,9,tvN,80,"Saturday, Sunday",20
Mother,9,tvN,63,"Wednesday, Thursday",16
It's Okay to Not Be Okay,9,"Netflix,  tvN",75,"Saturday, Sunday",16
Crash Landing on You,9,"Netflix,  tvN",85,Other,16
Vincenzo,9,"Netflix,  tvN",85,"Saturday, Sunday",20
Navillera,9,"Netflix,  tvN",65,"Monday, Tuesday",12
Signal,9,tvN,75,"Friday, Saturday",16
Mr. Sunshine,8.9,"Netflix,  tvN",80,"Saturday, Sunday",24
Happiness,8.9,tvN,65,"Friday, Saturday",12
Kingdom: Season 2,8.9,Netflix,45,Friday,6
SKY Castle,8.9,jTBC,75,"Friday, Saturday",20
Tomorrow,8.9,"MBC, Netflix",60,"Friday, Saturday",16
Healer,8.9,KBS2,60,"Monday, Tuesday",20
Stranger,8.9,"Netflix,  tvN",70,"Saturday, Sunday",16
Twenty-Five Twenty-One,8.8,"Netflix, tvN",75,"Saturday, Sunday",16
The Red Sleeve,8.8,"MBC, Viki",80,"Friday, Saturday",17
Goblin,8.8,tvN,82,"Friday, Saturday",16
The Uncanny Counter,8.8,"Netflix,  OCN",70,"Saturday, Sunday",16
Mouse,8.7,tvN,75,"Wednesday, Thursday",20
Kingdom,8.8,Netflix,51,Friday,6
Weightlifting Fairy Kim Bok Joo,8.8,MBC,60,"Wednesday, Thursday",16
D.P.,8.8,Netflix,50,Friday,6
The Devil Judge,8.8,tvN,70,"Saturday, Sunday",16
The Penthouse,8.8,SBS,85,"Monday, Tuesday",21
Youth of May,8.8,KBS2,70,"Monday, Tuesday",12
Taxi Driver,8.8,SBS,65,"Friday, Saturday",16
Life on Mars,8.8,OCN,65,"Saturday, Sunday",16
Beyond Evil,8.8,jTBC,65,"Friday, Saturday",16
Racket Boys,8.8,"Netflix,  SBS",75,"Monday, Tuesday",16
Hometown Cha-Cha-Cha,8.8,"Netflix,  tvN",80,"Saturday, Sunday",16
Six Flying Dragons,8.8,SBS,60,"Monday, Tuesday",50
Our Beloved Summer,8.7,"Netflix, SBS",60,"Monday, Tuesday",16
The Guest,8.8,OCN,67,"Wednesday, Thursday",16
Dear My Friends,8.7,tvN,70,"Friday, Saturday",16
While You Were Sleeping,8.7,SBS,30,"Wednesday, Thursday",32
The Penthouse 2,8.8,SBS,75,"Friday, Saturday",13
Chicago Typewriter,8.7,tvN,70,"Friday, Saturday",16
18 Again,8.7,jTBC,70,"Monday, Tuesday",16
Arthdal Chronicles Part 2,8.7,"Netflix,  tvN",81,"Saturday, Sunday",6
Arthdal Chronicles Part 3,8.7,"Netflix,  tvN",80,"Saturday, Sunday",6
Through the Darkness,8.7,SBS,70,"Friday, Saturday",12
Dr. Romantic 2,8.7,SBS,70,"Monday, Tuesday",16
Defendant,8.7,SBS,70,"Monday, Tuesday",18
Our Blues,8.7,"Netflix, tvN",70,"Saturday, Sunday",20
Sweet Home,8.7,Netflix,52,Friday,10
"Kill Me, Heal Me",8.7,MBC,62,"Wednesday, Thursday",20
Moon Lovers,8.7,SBS,60,"Monday, Tuesday",20
A Business Proposal,8.7,"Netflix, SBS",60,"Monday, Tuesday",12
Misaeng,8.7,tvN,80,"Friday, Saturday",20
Strong Woman Do Bong Soon,8.7,jTBC,67,"Friday, Saturday",16
The Fiery Priest,8.7,SBS,35,"Friday, Saturday",40
My Name,8.7,Netflix,50,Friday,8
Hotel del Luna,8.7,tvN,80,"Saturday, Sunday",16
Hot Stove League,8.7,SBS,62,"Friday, Saturday",16
Dr. Romantic,8.7,SBS,60,"Monday, Tuesday",20
Descendants of the Sun,8.7,KBS2,60,"Wednesday, Thursday",16
Law School,8.7,"jTBC,  Netflix",65,"Wednesday, Thursday",16
Strangers from Hell,8.7,OCN,60,"Saturday, Sunday",10
Live,8.7,"Netflix,  tvN",75,"Saturday, Sunday",18
Tunnel,8.7,OCN,60,"Saturday, Sunday",16
My Liberation Notes,8.6,"jTBC, Netflix",67,"Saturday, Sunday",16
Partners for Justice 2,8.6,MBC,35,"Monday, Tuesday",32
Jewel in the Palace,8.6,MBC,65,"Monday, Tuesday",54
"It's Okay, That's Love",8.6,SBS,60,"Wednesday, Thursday",16
Little Women,8.6,"Netflix, tvN",75,"Saturday, Sunday",12
Ghost Doctor,8.6,tvN,70,"Monday, Tuesday",16
Eulachacha Waikiki,8.6,jTBC,65,"Monday, Tuesday",20
The Bridal Mask,8.6,KBS2,65,"Wednesday, Thursday",28
Children of Nobody,8.6,MBC,30,"Wednesday, Thursday",32
Good Manager,8.6,KBS2,60,"Wednesday, Thursday",20
The King of Pigs,8.6,tvN,55,Friday,12
Big Mouth,8.6,"Hulu, MBC",71,"Friday, Saturday",16
Go Back Couple,8.6,KBS2,70,"Friday, Saturday",12
Empress Ki,8.6,MBC,65,"Monday, Tuesday",51
My Father is Strange,8.6,KBS2,66,"Saturday, Sunday",52
Once Again,8.6,KBS2,35,"Saturday, Sunday",100
Missing,8.6,OCN,70,"Saturday, Sunday",12
Stranger 2,8.6,"Netflix,  tvN",62,"Saturday, Sunday",16
Designated Survivor,8.6,"Netflix,  tvN",70,"Monday, Tuesday",16
Juvenile Justice,8.6,Netflix,62,Friday,10
Cruel City,8.6,jTBC,60,"Monday, Tuesday",20
My Love from the Star,8.6,SBS,58,"Wednesday, Thursday",21
Mystic Pop-Up Bar,8.6,"jTBC,  Netflix",68,"Wednesday, Thursday",12
Age of Youth,8.6,jTBC,60,"Friday, Saturday",12
Just Between Lovers,8.6,jTBC,73,"Monday, Tuesday",16
Save Me,8.6,OCN,60,"Saturday, Sunday",16
Bad and Crazy,8.6,"iQiyi, tvN",70,"Friday, Saturday",12
365,8.6,MBC,35,"Monday, Tuesday",24
The Master's Sun,8.6,SBS,62,"Wednesday, Thursday",17
Avengers Social Club,8.6,tvN,60,"Wednesday, Thursday",12
Rebel,8.5,MBC,60,"Monday, Tuesday",30
Nobody Knows,8.5,SBS,70,"Monday, Tuesday",16
Bad Guys,8.5,OCN,65,Other,11
Beautiful World,8.5,"jTBC,  Viki",60,"Friday, Saturday",16
Arthdal Chronicles Part 1,8.5,"Netflix,  tvN",80,"Saturday, Sunday",6
Kairos,8.5,MBC,70,"Monday, Tuesday",16
I Hear Your Voice,8.5,SBS,60,"Wednesday, Thursday",18
What's Wrong with Secretary Kim,8.5,tvN,69,"Wednesday, Thursday",16
Vagabond,8.5,"Netflix,  SBS",70,"Friday, Saturday",16
One Ordinary Day,8.5,ViuTV,70,"Saturday, Sunday",8
Reply 1997,8.5,tvN,60,Other,16
Doctor John,8.5,SBS,35,"Friday, Saturday",32
"Hi Bye, Mama!",8.5,"Netflix, tvN",70,"Saturday, Sunday",16
Voice,8.5,OCN,60,"Saturday, Sunday",16
Fight For My Way,8.5,KBS2,60,"Monday, Tuesday",16
Squid Game,8.5,Netflix,60,Friday,9
W,8.5,MBC,60,"Wednesday, Thursday",16
Queen Seon Duk,8.5,MBC,65,"Monday, Tuesday",62
Mad for Each Other,8.5,"Daum Kakao TV, Netflix",35,Other,13
Dali and the Cocky Prince,8.5,KBS2,65,"Wednesday, Thursday",16
Thirty But Seventeen,8.5,SBS,35,"Monday, Tuesday",32
When the Camellia Blooms,8.5,"KBS2,  Netflix",35,"Wednesday, Thursday",40
Be Melodramatic,8.5,"jTBC, Viki",65,"Friday, Saturday",16
Itaewon Class,8.5,"jTBC, Netflix",70,"Friday, Saturday",16
Snowdrop,8.5,jTBC,90,"Saturday, Sunday",16
